material,acido_ascorbico,agua_desionizada,amoniaco_25,aq_save,arianor_cherry_red_vibracolor_ruby_red,astrophos_hc2,azul_ultramar_b_6554,chematek_code_00302_jacorol_ahp,cire_de_lanol_sinnowax_ao,colorante_2a3hp,genencare_osms_ba_betafin_bp,h.c._yellow_2,h.c._yellow_4,jarocol_mbb,lowacryl_orange_31,merquat_280_safiquat_22,monoetanolamina_99__purete,nafol_16_18_lanette_o,perfume_bamboo_lotus_flower_2048692,perfume_xanadu,propilenglicol,rodol_24dape_chematek_00326,rodol_2_mr_chematek_code_00102,rodol_6amc_chematek_00269,rodol_6cp_chematek_00235,rodol_9r,rodol_blfx_bondecolor_blfx,rodol_eg_jarocol_map,rodol_ern_colorex_1_nap,rodol_gray_hed__jarocol_bhp,rodol_p_base_ot,rodol_paoc_chematek_00216,rodol_paox_colorex_paox,rodol_pmp_jarocol_pmp,rodol_rs_jarocol_rl,rodol_xdat,sodio_sulfito_anhidro,structure_zea_starch,transcutol_cg,utmf_ceramide_iii_silicon_free
622075,4.0,577.535,68.965,0,0.0,0,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,10,0,0.0,0,5.6,0.0,0.0,0.0,0.0,3.5,0.2,0.38,6.36,0.56,0.0,0.0,2.5,3.9,0,10.0,30,50,0.0
623005,4.0,486.635,64.965,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.6,0.0,0.0,0.0,0.0,26.0,0.5,0.0,10.0,1.1,0.0,0.0,0.0,7.2,0,10.0,30,50,0.0
623225,4.0,589.995,64.965,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.14,0.0,10.0,0.4,6.4,0.0,0.0,2.6,0,7.5,30,15,0.0
623525,4.0,605.835,68.965,0,0.0,0,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,10.0,7.0,6.2,0.0,0.0,0.0,0,7.5,30,15,0.0
624005,4.0,490.735,64.965,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,40,8,0.0,0,0.4,0.0,0.0,0.0,0.0,19.0,0.4,0.0,7.0,1.0,0.0,0.0,0.0,6.0,0,7.5,30,50,0.0
624085,4.0,510.735,64.965,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,40,8,0.0,0,0.6,2.0,0.0,0.0,0.0,31.0,0.4,0.0,8.5,1.0,0.0,0.0,0.0,5.8,0,7.0,30,15,0.0
624455,4.0,515.635,68.965,0,0.0,0,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,8.4,0.0,0.0,15.0,9.0,0.0,2.5,0.0,0,10.0,30,50,0.0
624505,4.0,578.835,64.965,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,7.0,4.2,2.0,0.0,0.0,0,10.0,30,15,0.0
624605,4.0,539.035,64.965,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.5,2.5,0.0,0.0,0.0,2.5,5.0,0,7.5,30,15,0.0
625005,4.0,546.625,64.965,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.4,0.0,0.0,0.0,0.3,15.0,0.8,0.0,2.5,1.26,0.0,0.0,0.0,7.65,0,7.5,30,50,0.0
